Image_ID,class,confidence,ymin,xmin,ymax,xmax,class_id,ImagePath
ID_nBgcAR.jpg,healthy,1.0,75.0,15.0,162.0,195.0,2,dataset/images/train/ID_nBgcAR.jpg
ID_nBgcAR.jpg,healthy,1.0,58.0,1.0,133.0,171.0,2,dataset/images/train/ID_nBgcAR.jpg
ID_nBgcAR.jpg,healthy,1.0,42.0,29.0,377.0,349.0,2,dataset/images/train/ID_nBgcAR.jpg
ID_Kw2v8A.jpg,healthy,1.0,112.0,124.0,404.0,341.0,2,dataset/images/train/ID_Kw2v8A.jpg
ID_Kw2v8A.jpg,healthy,1.0,148.0,259.0,413.0,412.0,2,dataset/images/train/ID_Kw2v8A.jpg
ID_ck6aIS.jpg,healthy,1.0,1.0,1.0,416.0,416.0,2,dataset/images/train/ID_ck6aIS.jpg
ID_tUqavp.jpg,healthy,1.0,37.0,30.0,415.0,364.0,2,dataset/images/train/ID_tUqavp.jpg
ID_tUqavp.jpg,healthy,1.0,4.0,1.0,127.0,161.0,2,dataset/images/train/ID_tUqavp.jpg
ID_qOoR5L.jpg,healthy,1.0,38.0,184.0,351.0,385.0,2,dataset/images/train/ID_qOoR5L.jpg
ID_qOoR5L.jpg,healthy,1.0,73.0,132.0,268.0,229.0,2,dataset/images/train/ID_qOoR5L.jpg
ID_qOoR5L.jpg,healthy,1.0,73.0,42.0,262.0,161.0,2,dataset/images/train/ID_qOoR5L.jpg
ID_qOoR5L.jpg,healthy,1.0,47.0,12.0,190.0,149.0,2,dataset/images/train/ID_qOoR5L.jpg
ID_ilxfrh.jpg,healthy,1.0,289.0,365.0,3071.0,1557.0,2,dataset/images/train/ID_ilxfrh.jpg
ID_ilxfrh.jpg,healthy,1.0,1068.0,1200.0,3264.0,2055.0,2,dataset/images/train/ID_ilxfrh.jpg
ID_ilxfrh.jpg,healthy,1.0,112.0,1116.0,1710.0,1902.0,2,dataset/images/train/ID_ilxfrh.jpg
ID_ilxfrh.jpg,healthy,1.0,771.0,0.0,2557.0,634.0,2,dataset/images/train/ID_ilxfrh.jpg
ID_ilxfrh.jpg,healthy,1.0,0.0,76.0,442.0,509.0,2,dataset/images/train/ID_ilxfrh.jpg
ID_Bw9N5J.jpg,healthy,1.0,28.0,802.0,2875.0,2212.0,2,dataset/images/train/ID_Bw9N5J.jpg
ID_Bw9N5J.jpg,healthy,1.0,84.0,0.0,2854.0,975.0,2,dataset/images/train/ID_Bw9N5J.jpg
ID_XDM5AQ.jpg,healthy,1.0,253.0,778.0,2573.0,1983.0,2,dataset/images/train/ID_XDM5AQ.jpg
ID_XDM5AQ.jpg,healthy,1.0,317.0,228.0,2529.0,1067.0,2,dataset/images/train/ID_XDM5AQ.jpg
ID_XDM5AQ.jpg,healthy,1.0,0.0,1553.0,2240.0,2448.0,2,dataset/images/train/ID_XDM5AQ.jpg
ID_XDM5AQ.jpg,healthy,1.0,1566.0,0.0,2995.0,341.0,2,dataset/images/train/ID_XDM5AQ.jpg
ID_jQBUBv.jpg,healthy,1.0,775.0,445.0,3019.0,1915.0,2,dataset/images/train/ID_jQBUBv.jpg
ID_jQBUBv.jpg,healthy,1.0,305.0,88.0,1277.0,1509.0,2,dataset/images/train/ID_jQBUBv.jpg
ID_a75z9t.jpg,healthy,1.0,1097.0,432.0,3264.0,1745.0,2,dataset/images/train/ID_a75z9t.jpg
ID_h25a29.jpg,healthy,1.0,131.0,12.0,380.0,404.0,2,dataset/images/train/ID_h25a29.jpg
ID_h25a29.jpg,healthy,1.0,14.0,45.0,229.0,348.0,2,dataset/images/train/ID_h25a29.jpg
ID_h25a29.jpg,healthy,1.0,82.0,281.0,233.0,403.0,2,dataset/images/train/ID_h25a29.jpg
ID_h25a29.jpg,healthy,1.0,99.0,338.0,222.0,416.0,2,dataset/images/train/ID_h25a29.jpg
ID_h25a29.jpg,healthy,1.0,282.0,333.0,416.0,416.0,2,dataset/images/train/ID_h25a29.jpg
ID_GjPkM0.jpg,healthy,1.0,863.0,80.0,2365.0,1216.0,2,dataset/images/train/ID_GjPkM0.jpg
ID_GjPkM0.jpg,healthy,1.0,618.0,1043.0,1995.0,2368.0,2,dataset/images/train/ID_GjPkM0.jpg
ID_GjPkM0.jpg,healthy,1.0,141.0,1730.0,1329.0,2448.0,2,dataset/images/train/ID_GjPkM0.jpg
ID_GjPkM0.jpg,healthy,1.0,2276.0,264.0,2746.0,750.0,2,dataset/images/train/ID_GjPkM0.jpg
ID_dWJxmx.jpg,healthy,1.0,454.0,710.0,2871.0,2079.0,2,dataset/images/train/ID_dWJxmx.jpg
ID_yhChmA.jpg,healthy,1.0,112.0,216.0,284.0,330.0,2,dataset/images/train/ID_yhChmA.jpg
ID_pUKy7D.jpg,healthy,1.0,46.0,26.0,416.0,365.0,2,dataset/images/train/ID_pUKy7D.jpg
ID_pUKy7D.jpg,healthy,1.0,59.0,255.0,281.0,415.0,2,dataset/images/train/ID_pUKy7D.jpg
ID_pUKy7D.jpg,healthy,1.0,18.0,1.0,148.0,174.0,2,dataset/images/train/ID_pUKy7D.jpg
ID_Yf4J1R.jpg,healthy,1.0,1297.0,875.0,2875.0,1750.0,2,dataset/images/train/ID_Yf4J1R.jpg
ID_Yf4J1R.jpg,healthy,1.0,1176.0,694.0,2288.0,1039.0,2,dataset/images/train/ID_Yf4J1R.jpg
ID_Yf4J1R.jpg,healthy,1.0,317.0,742.0,1401.0,1369.0,2,dataset/images/train/ID_Yf4J1R.jpg
ID_Hs1te9.jpg,healthy,1.0,1.0,1.0,408.0,416.0,2,dataset/images/train/ID_Hs1te9.jpg
ID_Hs1te9.jpg,healthy,1.0,213.0,260.0,382.0,416.0,2,dataset/images/train/ID_Hs1te9.jpg
ID_Emm8Th.jpg,healthy,1.0,100.0,44.0,339.0,244.0,2,dataset/images/train/ID_Emm8Th.jpg
ID_Emm8Th.jpg,healthy,1.0,168.0,137.0,404.0,333.0,2,dataset/images/train/ID_Emm8Th.jpg
ID_Emm8Th.jpg,healthy,1.0,139.0,282.0,203.0,342.0,2,dataset/images/train/ID_Emm8Th.jpg
ID_I5Ct4W.jpg,healthy,1.0,935.0,1356.0,2292.0,2448.0,2,dataset/images/train/ID_I5Ct4W.jpg
ID_I5Ct4W.jpg,healthy,1.0,1357.0,188.0,2710.0,1208.0,2,dataset/images/train/ID_I5Ct4W.jpg
ID_I5Ct4W.jpg,healthy,1.0,2204.0,1051.0,2662.0,1517.0,2,dataset/images/train/ID_I5Ct4W.jpg
ID_l11WEm.jpg,healthy,1.0,1.0,111.0,391.0,416.0,2,dataset/images/train/ID_l11WEm.jpg
ID_l11WEm.jpg,healthy,1.0,5.0,1.0,140.0,171.0,2,dataset/images/train/ID_l11WEm.jpg
ID_UW3QEr.jpg,healthy,1.0,1740.0,655.0,3264.0,1549.0,2,dataset/images/train/ID_UW3QEr.jpg
ID_UW3QEr.jpg,healthy,1.0,372.0,757.0,1497.0,1224.0,2,dataset/images/train/ID_UW3QEr.jpg
ID_UW3QEr.jpg,healthy,1.0,1063.0,1082.0,2133.0,1881.0,2,dataset/images/train/ID_UW3QEr.jpg
ID_eXMlfE.jpg,healthy,1.0,45.0,121.0,406.0,357.0,2,dataset/images/train/ID_eXMlfE.jpg
